Date,Tmin,Tmax
20100101,-6.3,0.7
20100102,-6.4,1.2
20100103,-6.5,-1
20100104,-5.4,-0.6
20100105,-3,1.9
20100106,-5.2,-0.5
20100107,-10,-2.1
20100108,-10.7,-2.1
20100109,-4.9,-0.5
20100110,-1,0.2
20100111,-0.9,0
20100112,-4.2,-0.7
20100113,-5,-1.2
20100114,-3,4.8
20100115,0.1,1.8
20100116,-0.1,1.9
20100117,0.8,6.7
20100118,0.2,5.3
20100119,1.9,5.8
20100120,1.6,5.5
20100121,1.9,3.8
20100122,0.2,4.9
20100123,-0.5,2.4
20100124,-0.7,0.6
20100125,-7.5,-0.6
20100126,-10.1,-3.7
20100127,-11.1,4.5
20100128,0.9,5.2
20100129,-0.3,4.6
20100130,-1.6,1.7
20100131,-0.5,3.7
20100201,-4.1,3.4
20100202,-0.6,5.2
20100203,-1.1,6.2
20100204,1.7,8.2
20100205,2.5,6.5
20100206,1.1,5.7
20100207,0.2,2.4
20100208,-4.5,0.2
20100209,-5,-1.5
20100210,-5.5,-1.2
20100211,-5.3,-0.8
20100212,-6.5,0.9
20100213,-4.3,0
20100214,-4.6,-1.3
20100215,-5.3,-1
20100216,-3.2,1.7
20100217,-4.5,2.6
20100218,1,5.7
20100219,1,5.3
20100220,-3.2,5.1
20100221,-4.5,4.2
20100222,1.7,8.3
20100223,0.8,4.4
20100224,1.5,10.2
20100225,6.8,11
20100226,5.7,10.3
20100227,4.3,9.1
20100228,3.4,10.9
20100301,1.1,7
20100302,-1.8,8
20100303,-3.2,7.1
20100304,-1.3,5.8
20100305,-4.6,6
20100306,-2.5,3.2
20100307,-5,3.9
20100308,-5.1,5.2
20100309,-3.8,5.6
20100310,-2.7,4.8
20100311,-1.2,5.8
20100312,3.1,6.8
20100313,2.8,7.3
20100314,4.8,8.5
20100315,4.8,9.2
20100316,3.7,10.9
20100317,2.7,13.6
20100318,1.3,17.3
20100319,10,14.7
20100320,11.7,16.7
20100321,2,12.3
20100322,0.7,12.5
20100323,4.2,13.7
20100324,8.2,17.9
20100325,10.4,19.7
20100326,7.9,12.4
20100327,7.8,12.7
20100328,7,11.6
20100329,7.5,12.7
20100330,5.6,13.8
20100331,3.9,10.2
20100401,2.5,8.6
20100402,2.1,13.6
20100403,5.4,10.7
20100404,2.7,10.6
20100405,2.8,10.9
20100406,5,16
20100407,8,19.5
20100408,3.3,13.3
20100409,3.5,15.7
20100410,4.1,12.1
20100411,2.3,10.3
20100412,3.8,14.9
20100413,2.8,15.2
20100414,2.7,15.4
20100415,3.8,15.3
20100416,1.5,12
20100417,-0.9,16.6
20100418,-0.1,18
20100419,5.4,13.4
20100420,5.3,12.5
20100421,2.4,9.8
20100422,0.7,12
20100423,-2,14.8
20100424,0.8,19.3
20100425,4.3,23.5
20100426,9.3,16.8
20100427,5,18.9
20100428,5.7,23
20100429,9.3,25.2
20100430,9.8,14.6
20100501,6.3,14.9
20100502,5.5,8.7
20100503,5.4,7.5
20100504,4,11.2
20100505,1.1,13.2
20100506,3.9,13.9
20100507,5.8,9.4
20100508,7.3,10.9
20100509,5,11.8
20100510,2,11
20100511,4.4,11.5
20100512,4.5,7.7
20100513,3.9,9.2
20100514,1.8,12.8
20100515,0.5,14.6
20100516,8.2,15.5
20100517,5.8,15.9
20100518,3.4,15.7
20100519,5.1,17.1
20100520,3.4,20.7
20100521,9.6,20.1
20100522,8.5,19.8
20100523,8.2,23.7
20100524,10.2,22.5
20100525,8.1,18.1
20100526,6.6,13
20100527,6.7,15.4
20100528,4,17.2
20100529,4.4,21
20100530,9.4,15.9
20100531,9.8,17.2
20100601,5.8,18.5
20100602,10.4,21.4
20100603,9.4,21.6
20100604,9.3,23.3
20100605,9.3,26.5
20100606,12.4,26.1
20100607,11.5,18.8
20100608,11.5,23
20100609,15.3,20.1
20100610,15.9,21.7
20100611,9.7,20.1
20100612,8.1,19.1
20100613,9,16.6
20100614,9.7,21.5
20100615,9.3,16.8
20100616,8.3,22
20100617,10.2,23.1
20100618,10.8,15.9
20100619,9.5,15.7
20100620,9.8,14
20100621,6.7,18.2
20100622,4.3,20.9
20100623,7.5,25.9
20100624,10.4,27
20100625,12.2,24.6
20100626,10.6,25.5
20100627,12.3,28.4
20100628,12.7,29.8
20100629,11.1,26.6
20100630,14.2,27
20100701,14.2,28.4
20100702,20.5,33.6
20100703,16,27.8
20100704,14.5,25.8
20100705,13.7,23.6
20100706,9,20.9
20100707,8,25.7
20100708,13.2,28.9
20100709,14.6,34.4
20100710,16.5,32.7
20100711,18.4,29.3
20100712,16.9,25.8
20100713,14.4,26.5
20100714,17.3,28.6
20100715,16.3,22.5
20100716,15,24.1
20100717,11.8,21.1
20100718,10.2,23.3
20100719,11.8,27.5
20100720,13.7,29.3
20100721,18.7,25.9
20100722,12.5,23.5
20100723,10.5,22.6
20100724,12.6,20.4
20100725,12.1,19.8
20100726,12.5,20.6
20100727,11.9,21.2
20100728,14.4,22.3
20100729,13.8,20.7
20100730,13.5,22.7
20100731,14.1,21.5
20100801,12.8,22.8
20100802,10.6,20.1
20100803,10.7,22.1
20100804,13.9,20.1
20100805,9.1,20.2
20100806,7.6,23.3
20100807,14.4,20.8
20100808,12.3,20.9
20100809,12.3,22.3
20100810,11.6,22.5
20100811,9.6,21.3
20100812,8.2,20.3
20100813,9.5,21
20100814,10.1,24.2
20100815,15.3,20.2
20100816,16.6,22.3
20100817,15.1,18
20100818,14.4,19.9
20100819,13.2,21
20100820,14.3,27.6
20100821,17.5,25.9
20100822,17.4,22.5
20100823,16.8,21.4
20100824,13.5,19.9
20100825,13.6,20.5
20100826,13.5,20.4
20100827,10.1,17.2
20100828,8.6,18.4
20100829,9.7,16.7
20100830,10.1,17.9
20100831,6.7,18.7
20100901,5.9,18.5
20100902,6.2,17.7
20100903,7.6,19.6
20100904,7,19.5
20100905,7.2,19.7
20100906,9,20.5
20100907,10.8,15
20100908,12.3,21
20100909,11.2,20.8
20100910,11.2,18.3
20100911,14.9,23.3
20100912,9.5,19.1
20100913,7.8,19.1
20100914,13.5,16.7
20100915,10.4,17.1
20100916,9,17.2
20100917,8.6,15
20100918,7.4,16.7
20100919,8.3,16.2
20100920,12.6,18.1
20100921,9.7,18.6
20100922,8.7,22.5
20100923,11.7,20.8
20100924,12.2,17.8
20100925,7.8,15
20100926,4.4,14.4
20100927,4.3,12.7
20100928,8.5,15
20100929,5.8,14.2
20100930,6.5,14.9
20101001,6,17
20101002,12.2,18.2
20101003,14.7,22.3
20101004,13,22
20101005,13.6,19.5
20101006,12.3,19.2
20101007,9.7,16.9
20101008,11.1,16.3
20101009,9.5,19.4
20101010,7.1,17.9
20101011,4.6,16.2
20101012,5.1,13.4
20101013,2.8,13
20101014,2.3,12.5
20101015,7.6,12.8
20101016,4.2,10.3
20101017,-1,10.7
20101018,-1.8,12.6
20101019,6.8,12.7
20101020,3.5,9.3
20101021,2.9,11.5
20101022,6.7,12.5
20101023,4.8,8.6
20101024,2.9,11.7
20101025,0,11.3
20101026,-0.1,10.1
20101027,6.7,10.7
20101028,8.9,13.6
20101029,5.9,13.1
20101030,6.9,13.4
20101031,5.4,13.3
20101101,5,9.2
20101102,8.3,13
20101103,10.7,14.7
20101104,14.5,15.9
20101105,9.4,15
20101106,7.4,11.6
20101107,0.8,8.2
20101108,0.3,8
20101109,4.2,5.3
20101110,2.4,8.5
20101111,3.4,10.7
20101112,9.8,12.8
20101113,8.8,11.5
20101114,8.4,13.2
20101115,0.2,10.6
20101116,-1.1,6
20101117,0.6,5.3
20101118,4,6.9
20101119,4.2,8.7
20101120,4.1,9.4
20101121,2.7,8.3
20101122,1.8,6.3
20101123,1.5,7.6
20101124,0.4,6.3
20101125,0.1,4.8
20101126,-2.8,3.8
20101127,-4.4,1.6
20101128,-5.2,0.5
20101129,-4.5,-0.7
20101130,-3.7,-0.5
20101201,-7.8,-3.7
20101202,-7.9,-6.1
20101203,-9.7,-2.5
20101204,-6.3,0.8
20101205,-1.1,4.7
20101206,-3.3,2.3
20101207,-3.8,-1.3
20101208,-4.7,-0.4
20101209,-2.4,5.4
20101210,-1,7.1
20101211,6,8
20101212,-3.4,6.8
20101213,-6.5,2
20101214,-5.9,0.1
20101215,-5.7,3.6
20101216,-2.7,4.5
20101217,-5.6,-0.6
20101218,-6,-1.5
20101219,-5.7,-3.9
20101220,-11.1,-4.7
20101221,-8.5,-1.6
20101222,-2.9,-1.1
20101223,-2.2,0
20101224,-2.4,-0.3
20101225,-3.3,0.6
20101226,-5.9,4.8
20101227,-1.6,0.9
20101228,-0.3,1.2
20101229,-1.6,1.8
20101230,-5.5,1.9
20101231,0.6,3.7
20110101,-0.3,5.9
20110102,-0.7,5.3
20110103,-3.6,3.6
20110104,-0.1,2.4
20110105,-1.5,3.5
20110106,3.3,5.2
20110107,-0.5,9.2
20110108,4.9,12
20110109,1,6.7
20110110,-2.5,4.9
20110111,-0.3,6.2
20110112,2.9,8.5
20110113,8.3,10.6
20110114,7.5,11.6
20110115,7,10
20110116,8,12.5
20110117,5,9.6
20110118,1.9,6.1
20110119,1.4,6.6
20110120,-2.8,5
20110121,-3.8,3.7
20110122,2.2,6.1
20110123,2.3,6.6
20110124,4.5,6.8
20110125,0.7,6.9
20110126,-0.4,4
20110127,-3.1,1.4
20110128,-4.9,1.1
20110129,-5.6,0.6
20110130,-5.3,1.4
20110131,-2.9,-0.1
20110201,-3.3,2.4
20110202,2.2,4.5
20110203,3.9,8
20110204,6.5,10.4
20110205,10.3,11.6
20110206,8.4,11.3
20110207,7.1,10.4
20110208,-2.8,9.2
20110209,-3.7,9.4
20110210,3.6,10.4
20110211,4.7,9.5
20110212,3.1,8.5
20110213,3.4,8.1
20110214,4.4,8.2
20110215,3.5,7.9
20110216,2,10.4
20110217,0.6,10.1
20110218,0.4,1.5
20110219,0.6,5
20110220,-2.4,2.7
20110221,-4.6,2.1
20110222,-6.4,2.5
20110223,-2.3,3.7
20110224,0.9,6.8
20110225,5.1,8.1
20110226,6,9.5
20110227,1.3,6.2
20110228,1,3.4
20110301,1.2,4.1
20110302,-1.4,6.4
20110303,-2.5,6
20110304,-3.7,4.7
20110305,-0.7,6.1
20110306,-2.8,6.7
20110307,-2.9,7.9
20110308,-1.3,11
20110309,4.3,10.1
20110310,4.3,10.3
20110311,1,10.6
20110312,0.7,12.7
20110313,9.1,13.1
20110314,8.3,13.8
20110315,7.9,16.4
20110316,4.7,11.9
20110317,4.5,8.4
20110318,4.5,9.5
20110319,-1.7,10.2
20110320,-2.8,11.8
20110321,-2.9,14.3
20110322,-1.2,16.2
20110323,2.5,15
20110324,0,16.6
20110325,3.6,14.8
20110326,0.7,8
20110327,-0.6,12.9
20110328,-1.9,10.2
20110329,-2.5,14.6
20110330,0.3,15.4
20110331,9.2,14
20110401,9.9,16.1
20110402,9,23.2
20110403,9.2,15.3
20110404,8.2,14.1
20110405,7,11.9
20110406,10.3,20.8
20110407,6,16.4
20110408,3.5,16.3
20110409,5.6,16.2
20110410,4.4,18.7
20110411,4.5,22
20110412,5.6,11.2
20110413,1.2,13.2
20110414,1.4,12.6
20110415,2.2,16.3
20110416,2.4,16.9
20110417,7.6,17.9
20110418,3,18.8
20110419,7.5,23.8
20110420,5.6,24.6
20110421,6.3,25
20110422,9.2,26.3
20110423,9.9,26.3
20110424,8.9,26
20110425,7.8,23.9
20110426,7.1,21.2
20110427,9.4,15.7
20110428,10.9,19
20110429,10.1,22.9
20110430,9.8,21.4
20110501,6.9,18.5
20110502,5.3,14.8
20110503,2.2,14.1
20110504,0.3,14.1
20110505,0,18.4
20110506,5.1,22.3
20110507,10.9,27.8
20110508,15.8,26.9
20110509,11,20.4
20110510,10.1,23.2
20110511,9,20.9
20110512,8.3,17.4
20110513,8,18.7
20110514,7.4,15.5
20110515,8.4,15.4
20110516,11,15
20110517,10.7,16.8
